timestamp,dt,x,y,z,dx_odom,dy_odom,dz_odom,vx_odom,vy_odom,vz_odom
1560500844.271741,0.1989586353302002,1441.2268546008256,974.5802385592897,-0.017352846306573445,0.0004885458047283464,0.0018228762153853495,-0.001487985903253275,0.0024555144536327115,0.00916208644254132,-0.007478870674719649
1560500844.3386135,0.06687259674072266,1441.2274263370518,974.5805914366754,-0.018770150084050665,0.0005886300173187919,-0.00017740133665711255,-0.001442982407212412,0.008802260507409615,-0.0026528256012687845,-0.021578082466381855
1560500844.4751184,0.1365048885345459,1441.2279550992675,974.5825375056312,-0.022193762002011768,0.0015579788569084485,0.0009532666341556251,-0.003528721727661832,0.011413355767944998,0.00698338824630722,-0.025850515432411073
1560500844.540961,0.0658426284790039,1441.228584673704,974.5811636643368,-0.022691984451019998,-0.0005166409403045691,-0.0014400589148522158,-0.0004374264999427169,-0.007846602607447803,-0.02187122458684082,-0.006643515151923267
1560500844.6715717,0.13061070442199707,1441.2307971899118,974.584622602783,-0.027937252148380304,0.003729391908109392,0.0008397191426183781,-0.005455164903068521,0.02855349356404894,0.006429175513097953,-0.0417665988956245
1560500844.7368903,0.06531858444213867,1441.23119447754,974.5895506799428,-0.02613183745205403,0.0037719246774940984,0.003331556463422203,0.001541628987297372,0.05774657717567949,0.051004725406647536,0.02360169009270244
1560500844.868698,0.13180756568908691,1441.2308307187252,974.5954758207785,-0.02610997797547339,0.0038285639191144583,0.004528231927338311,-0.0002780398608166479,0.02904661730985482,0.03435487108547084,-0.0021094377956459623
1560500845.0689929,0.20029497146606445,1441.2204263902015,974.6079146234575,-0.02594682911169732,0.0011109823662991403,0.016176133243163804,-0.00031450461177939815,0.00554673119433441,0.08076155444523724,-0.0015702072272577446
1560500845.1368089,0.06781601905822754,1441.2186192894756,974.612373020604,-0.023775715621240645,0.0019011742956536182,0.00452633136779923,0.0019376564668505125,0.02803429517178309,0.06674428004853654,0.028572253189719385
1560500845.2776904,0.14088153839111328,1441.2152673253984,974.6213025043586,-0.014580364891443402,0.004246280299867067,0.009023181281122561,0.008722219988555935,0.030140785999075374,0.06404800362182685,0.06191173157366748
1560500845.3474014,0.06971096992492676,1441.2159125647945,974.6256238828314,-0.007145933839585455,0.0038458454941974196,0.002871944046205499,0.0071639947430384154,0.055168440466960844,0.04119787817180506,0.10276710754065645
1560500845.4164956,0.06909418106079102,1441.2186425399775,974.6283162967437,-0.0064204117452614055,0.003866565877387984,4.284072974769515e-05,0.0005254259902898184,0.05596080332707135,0.0006200338304900476,0.007604489730148676
1560500845.5606143,0.1441187858581543,1441.2190984529457,974.6346867943752,-0.0028488659106172542,0.004946004556813932,0.00434857833516844,0.0031896616981015313,0.03431894410824365,0.030173570428552125,0.022132171591015794
